,name,count,pos,norm
139,busy restaurant,1,,0.0
140,restaurant plenty,1,,0.0
141,plenty tables,1,,0.0
142,tables opportunity,1,,0.0
143,opportunity earn,1,,0.0
144,earn tips,1,,0.0
146,people working,1,,0.0
147,working thorough,1,,0.0
148,thorough training,1,,0.0
149,training good,1,,0.0
150,good keeping,1,,0.0
151,keeping availability,1,,0.0
152,availability mind,1,,0.0
153,mind overall,1,,0.0
154,overall place,1,,0.0
132,shifts depending,1,,0.0
131,long shifts,1,,0.0
130,shifts long,1,,0.0
116,good flexible,1,,0.0
108,family environment,1,,0.0
109,environment meals,1,,0.0
110,meals often,1,,0.0
111,often free,1,,0.0
112,free line,1,,0.0
113,line cooks,1,,0.0
114,cooks really,1,,0.0
115,really good,1,,0.0
117,schedule plenty,1,,0.0
128,turnover short,1,,0.0
118,plenty coworkers,1,,0.0
119,coworkers trade,1,,0.0
120,shifts cover,1,,0.0
121,cover decent,1,,0.0
122,decent volume,1,,0.0
123,volume make,1,,0.0
124,make tips,1,,0.0
125,tips quick,1,,0.0
155,place great,1,,0.0
156,great gave,1,,0.0
157,gave experience,1,,0.0
191,shift covered,1,,0.0
183,paid time,1,,0.0
184,time food,1,,0.0
185,food comes,1,,0.0
186,comes quickly,1,,0.0
187,quickly generally,1,,0.0
188,generally easy,1,,0.0
189,easy get,1,,0.0
190,get shift,1,,0.0
192,covered fast,1,,0.0
181,always got,1,,0.0
194,paced good,1,,0.0
195,good table,1,,0.0
196,turnover caring,1,,0.0
197,caring managers,1,,0.0
198,managers take,1,,0.0
199,take home,1,,0.0
200,home cash,1,,0.0
201,tips daily,1,,0.0
182,got paid,1,,0.0
180,pay always,1,,0.0
158,experience future,1,,0.0
168,job tips,1,,0.0
159,future jobs,1,,0.0
160,jobs good,1,,0.0
161,good work,1,,0.0
162,work going,1,,0.0
163,going college,1,,0.0
164,college overall,1,,0.0
165,overall pretty,1,,0.0
167,easy job,1,,0.0
169,tips decent,1,,0.0
179,great pay,1,,0.0
170,decent solid,1,,0.0
171,solid vibrant,1,,0.0
172,vibrant culture,1,,0.0
173,culture lots,1,,0.0
174,lots great,1,,0.0
176,work company,1,,0.0
177,company offers,1,,0.0
178,offers great,1,,0.0
107,company family,1,,0.0
106,meals company,1,,0.0
105,employee meals,1,,0.0
35,industry standard,1,,0.0
27,rewards program,1,,0.0
28,program convenient,1,,0.0
29,convenient zios,1,,0.0
30,zios bottomless,1,,0.0
31,bottomless items,1,,0.0
32,items salary,1,,0.0
33,salary benefits,1,,0.0
34,benefits industry,1,,0.0
36,standard great,1,,0.0
25,brithdays great,1,,0.0
37,great environment,1,,0.0
38,environment good,1,,0.0
40,food location,1,,0.0
41,location great,1,,0.0
44,servers flexible,1,,0.0
46,schedules pick,1,,0.0
47,pick trade,1,,0.0
49,shifts take,1,,0.0
26,great rewards,1,,0.0
24,food brithdays,1,,0.0
51,time whenever,1,,0.0
11,corporate quick,1,,0.0
2,really great,1,,0.0
4,people 1,1,,0.0
5,1 free,1,,0.0
6,free meal,1,,0.0
7,meal per,1,,0.0
8,per shift,1,,0.0
9,shift worked,1,,0.0
10,worked corporate,1,,0.0
13,money clear,1,,0.0
22,place free,1,,0.0
14,clear communication,1,,0.0
15,communication managers,1,,0.0
16,managers great,1,,0.0
17,great customers,1,,0.0
18,customers great,1,,0.0
19,great employees,1,,0.0
20,employees beautiful,1,,0.0
21,beautiful place,1,,0.0
50,take time,1,,0.0
52,whenever want,1,,0.0
104,free employee,1,,0.0
91,food service,1,,0.0
83,work hard,1,,0.0
84,hard get,1,,0.0
85,get nice,1,,0.0
86,nice guests,1,,0.0
87,guests come,1,,0.0
88,come spend,1,,0.0
89,spend money,1,,0.0
90,money food,1,,0.0
92,service clean,1,,0.0
81,100 tipout,1,,0.0
93,clean restaurant,1,,0.0
94,restaurant nice,1,,0.0
95,nice co,1,,0.0
96,workers great,1,,0.0
99,fun place,1,,0.0
100,place work,1,,0.0
101,work friendly,1,,0.0
103,environment free,1,,0.0
82,tipout work,1,,0.0
80,make 100,1,,0.0
53,want good,1,,0.0
66,tips every,1,,0.0
54,good wages,1,,0.0
55,wages good,1,,0.0
57,people good,1,,0.0
58,good vibes,1,,0.0
59,vibes flexible,1,,0.0
61,schedule awesome,1,,0.0
62,awesome co,1,,0.0
64,workers cash,1,,0.0
68,shift lot,1,,0.0
78,day time,1,,0.0
69,lot freedom,1,,0.0
70,freedom service,1,,0.0
71,service techniques,1,,0.0
72,techniques tips,1,,0.0
74,great busy,1,,0.0
75,busy steady,1,,0.0
76,steady flow,1,,0.0
77,flow day,1,,0.0
202,daily good,1,,0.0
204,servers teamwork,1,,0.0
205,teamwork easy,1,,0.0
334,food high,1,,0.0
325,food hosts,1,,0.0
326,hosts free,1,,0.0
327,free servers,1,,0.0
328,servers get,1,,0.0
329,get meet,1,,0.0
331,lot people,1,,0.0
332,people talk,1,,0.0
333,talk good,1,,0.0
335,high cleanliness,1,,0.0
323,employees half,1,,0.0
336,cleanliness standards,1,,0.0
337,standards good,1,,0.0
338,good training,1,,0.0
339,training flexible,1,,0.0
341,hours opportunities,1,,0.0
342,opportunities move,1,,0.0
343,move short,1,,0.0
344,shifts tasty,1,,0.0
324,half food,1,,0.0
322,satisfy employees,1,,0.0
346,food engaging,1,,0.0
311,busy student,1,,0.0
303,experience dining,1,,0.0
304,dining kind,1,,0.0
305,kind everyone,1,,0.0
306,everyone offer,1,,0.0
307,offer flexible,1,,0.0
308,flexible school,1,,0.0
309,school schedule,1,,0.0
310,schedule busy,1,,0.0
312,student like,1,,0.0
321,looks satisfy,1,,0.0
313,like pay,1,,0.0
314,pay somewhat,1,,0.0
315,somewhat better,1,,0.0
316,better places,1,,0.0
317,places offering,1,,0.0
318,offering still,1,,0.0
319,still great,1,,0.0
320,management looks,1,,0.0
345,tasty food,1,,0.0
347,engaging management,1,,0.0
301,want best,1,,0.0
379,new friends,1,,0.0
371,schedule flexible,1,,0.0
1,food really,1,,0.0
373,managers cross,1,,0.0
374,cross train,1,,0.0
375,train whatever,1,,0.0
376,whatever like,1,,0.0
377,like meet,1,,0.0
378,lot new,1,,0.0
380,friends always,1,,0.0
369,store positions,1,,0.0
381,always ask,1,,0.0
382,ask raise,1,,0.0
383,raise scheduling,1,,0.0
384,scheduling system,1,,0.0
385,system built,1,,0.0
386,built demonstrated,1,,0.0
387,demonstrated success,1,,0.0
388,success better,1,,0.0
370,positions schedule,1,,0.0
368,within store,1,,0.0
348,management comprehensive,1,,0.0
357,good developing,1,,0.0
349,comprehensive benefits,1,,0.0
350,benefits discounts,1,,0.0
351,discounts full,1,,0.0
352,full time,1,,0.0
353,time employees,1,,0.0
354,employees initial,1,,0.0
355,initial experience,1,,0.0
356,experience good,1,,0.0
358,developing resume,1,,0.0
367,promotes within,1,,0.0
359,resume college,1,,0.0
360,college one,1,,0.0
361,one able,1,,0.0
362,able obtain,1,,0.0
363,obtain desired,1,,0.0
364,desired preferred,1,,0.0
365,preferred field,1,,0.0
366,field promotes,1,,0.0
302,best experience,1,,0.0
300,customer want,1,,0.0
206,easy side,1,,0.0
238,lets escape,1,,0.0
230,regulars love,1,,0.0
231,love coworkers,1,,0.0
232,coworkers part,1,,0.0
233,part good,1,,0.0
234,good mood,1,,0.0
235,mood work,1,,0.0
236,work living,1,,0.0
237,living lets,1,,0.0
239,escape worries,1,,0.0
228,money lots,1,,0.0
240,worries outside,1,,0.0
241,outside world,1,,0.0
242,world also,1,,0.0
243,also given,1,,0.0
244,given employee,1,,0.0
245,employee meal,1,,0.0
246,meal every,1,,0.0
247,every day,1,,0.0
229,lots regulars,1,,0.0
227,make good,1,,0.0
250,offered benefits,1,,0.0
215,going training,1,,0.0
207,side work,1,,0.0
208,work uniform,1,,0.0
209,uniform scheduling,1,,0.0
210,scheduling set,1,,0.0
211,set hot,1,,0.0
212,hot schedule,1,,0.0
213,turnover salaries,1,,0.0
214,salaries going,1,,0.0
216,training key,1,,0.0
226,long time,1,,0.0
217,key positive,1,,0.0
218,positive red,1,,0.0
220,robin company,1,,0.0
221,company finally,1,,0.0
222,finally investing,1,,0.0
223,investing technology,1,,0.0
224,technology need,1,,0.0
225,need long,1,,0.0
249,work offered,1,,0.0
251,benefits work,1,,0.0
299,care customer,1,,0.0
286,easy menu,1,,0.0
278,location management,1,,0.0
279,management amazing,1,,0.0
280,amazing times,1,,0.0
281,times definitely,1,,0.0
282,definitely fulfill,1,,0.0
283,fulfill role,1,,0.0
284,role properly,1,,0.0
285,properly easy,1,,0.0
287,menu great,1,,0.0
276,part every,1,,0.0
290,team location,1,,0.0
291,location worked,1,,0.0
292,worked good,1,,0.0
293,people mostly,1,,0.0
294,mostly great,1,,0.0
295,great managers,1,,0.0
297,good uniforms,1,,0.0
298,uniforms care,1,,0.0
277,every location,1,,0.0
274,far best,1,,0.0
252,work average,1,,0.0
261,5 different,1,,0.0
253,average 30hours,1,,0.0
254,30hours week,1,,0.0
255,week however,1,,0.0
256,however fight,1,,0.0
257,fight benefits,1,,0.0
258,benefits often,1,,0.0
259,often ask,1,,0.0
260,ask 5,1,,0.0
263,people order,1,,0.0
273,workers far,1,,0.0
264,order receive,1,,0.0
265,receive even,1,,0.0
266,even forget,1,,0.0
267,forget give,1,,0.0
268,give flexible,1,,0.0
270,scheduling pretty,1,,0.0
271,pretty much,1,,0.0
272,much co,1,,0.0
743,thorough hands,1,,0.0
